id;lineup
2435830;"Indira Paganotto; Valentinø; Gianni Di Bernardo; SANEM; Paquita Gordon; Germano Ventura; ANDREA SALVAGGIO"
2418299;"CamelPhat; Indira Paganotto; Paolo Ferrara; Valentino; BEC"
2398051;"Adiel; Quest; Alarico; Yanamaste; Ana Pacheco; Mingote; Backbone; Jesterr; Ben Klock; Rødhåd"
2418300;"CamelPhat; Azyr; Indira Paganotto; BIIA"
2418302;"CamelPhat; Charlie Sparks; Indira Paganotto; Sam Paganini; R.Korner"
2390274;"Indira Paganotto; SANEM; MaMo"
2463551;"Loco Dice; Yaya"
2408427;"Marco Carola; Loco Dice; Mau P; Camila Jun"
2344348;"Ilario Alicante; Loco Dice; Melanie Ribbe; Paco Osuna; Andrew Azara; Merissa Mahilaa; Nick Curly"
2463833;"Loco Dice; Alex Neri; I.g.n.a.; Philipp"
2444625;"Loco Dice; Harvy Valencia; Ms. Mada; slugg"
2365641;"Black Coffee; Jimi Jules; meera; Skepta; Loco Dice; SYREETA"
2365282;"FISHER; Loco Dice; Rafael Cerato"
2455938;"Loco Dice; Sosa; Joëlla Jackson; AJ Christou; Ricky Montanari; Cirillo"
2365355;"Jamie Jones; Loco Dice; Hot Since 82; Chelina Manuhutu; Antss; Elliot Schooling; Liam Palmer; Mad.Again (2)"
2449310;"Loco Dice; Seth Troxler; Victor Calderone"
2436979;"Loco Dice; Archie Hamilton"
2390704;"Carl Cox; Loco Dice; Ben Sterling; Mita Gami; John Digweed; Tini Gessler; DJ Vibe"
2353326;"Adiel; Adriatique; Alarico; Yanamaste; Andres Campo; Ben Sims; Oscar Mulero; Chlär; Dany Gómez; Karretero"
2427857;"Adiel; Adriatique; Alarico; Yanamaste; Andres Campo; Ben Sims; Oscar Mulero; Chlär; Dany Gómez; Karretero"
2415052;"Carl Cox; Loco Dice; Nic Fanciulli; Chelina Manuhutu; Jon Rundell"
2365518;"Carl Cox; Dennis Cruz; Loco Dice; Mita Gami; Karretero; PAUZA; Melon Bomb"
2365374;"Jamie Jones; Loco Dice; Damian Lazarus; Calvin Clarke; SYREETA; Josh Dean; Ciclo"
2461211;"Maceo Plex; Zakes Bantwini; Alexandthere"
2411805;"Maceo Plex; DJ Tennis"
2404681;"DJ Tennis; Maceo Plex; MUSCLECARS; Danny Daze; Andi; Arvin T"
2370951;"Maceo Plex; Âme; Radio Slave; Anthony Rother; Mack Loenz"
2370287;"Maceo Plex; Fleur Shore; Francisco Allendes; Joe Rolét; Raul Rodriguez"
2429080;"Maceo Plex; ANT Mifsud"
2455403;"Maceo Plex; Henri Bergmann; Madben"
2448211;"Maceo Plex; Christian Nielsen"
2431781;Maceo Plex
2391319;"Maceo Plex; Marcel Dettmann; Manolaco"
2365499;"Carl Cox; Andrea Oliva; Maceo Plex; Chelina Manuhutu; VICTORIA WHYNOT; Melon Bomb"
2436639;"Maceo Plex; Âme; Fedele; Julya Karma"
2378909;"10cust; 1tbsp; Alarico; Yanamaste; Adiel; Quest; Matroda; Amelie Lens; Andy C; Alive"
2384271;"Adam Beyer; Eric Prydz; Maceo Plex; Yulia Niko; Airrica"
2342023;"DJ Snake; Martin Garrix; PLK; Amelie Lens; Nico Moreno; Mosimann; Vladimir Cauchemar; Anetha; Patrick Mason; Maceo Plex"
2409354;"Maceo Plex; Klanglos; Mark Dekoda; Sylvie Miles; OLEA; Ephy Pinkman; Blossmbae; Who is ela¿"
2421751;"Maceo Plex; Calypsis; Solvane; Malouna; Prismode; Markus Klee"
2413501;"Maceo Plex; Jino Dollini; Endorphins"
2365290;"FISHER; Maceo Plex; Marco Lys; Jason Bye"
2440476;"Adam Beyer; Bart Skils; Victor Ruiz; Kevin de Vries; Linska"
2346846;"Joris Voorn; Bart Skils; Kaufmann"
2457048;"Bart Skils; Pavel Petrov; ARDA (3)"
2431499;"MILLA; Bart Skils; Pavel Petrov; Bagerziev; Vorick; Egor Sintsoff; NERONE (2); Victor Ruiz; METODI; Peppou"
2416681;"Bart Skils; Netty Hugo; DELEY"
2460749;"Bart Skils; Luis Ripa"
2297667;"Andy Düx; ALT8; Bart Skils; L.zwo; Neon Graveyard; Nico Röhheuser; Pretty Pink; Talla 2XLC"
2448883;"Bart Skils; Oliver Huntemann; Victor Ruiz; Roger Gerressen"
2455178;Joyhauser
2366897;"Meduza; James Hype (UK); Fiona Kraft; Kitty Amor; PAUZA; Colyn; Recondite; Andro"
2384616;Colyn
2365236;"John Summit; Eli Brown; Colyn; Bender"
2375351;"Anyma; Rampa; Colyn; Stylo"
2449951;"Colyn; Stavroz"
2450489;"Agents Of Time; Alan Fitzpatrick; Anil Aras; Anna Reusch; Benny Rodrigues; Cici Daze; Collé; Colyn; DIØN; Easttown"
2375366;"Anyma; Cassian; Kevin de Vries; Colyn; Innellea; Agents Of Time"
2447557;"Aria Santillana; Commissar  Lag; IMOGEN; Josh Reid; Josiane; Kedi Bounce; Npoint_O; Sunil Sharpe; TAUREAN (2)"
2454491;"Sunil Sharpe; Jerome Hill; Fear-E; Shadesy"
2444310;"Jaap Liebregt; Schöne; Meda-Ava; Vera Grace"
2441522;Rossi
2305029;"Rossi; Traumer; The Ghost; Locklead; Jamback; Kepler; Burnski; PACH; Marlie; Captain Wallop"
2409874;"CARISTA; Dennis Cruz; DJ Tennis; Elliot Schooling; Franky Rizardo; Jamback; Liam Palmer; Mau P; Michael Bibi; PARAMIDA"
2199929;"Calvin Harris; Sammy Virji; Skepta; Chris Stussy; Josh Baker; Nia Archives; KETTAMA; Rudimental; Marlon Hoffstadt; ¥ØU$UK€ ¥UK1MAT$U"
2424514;"Rossi; Julian Anthony"
2357580;"Alexia Glensy; Diffrent; Helena Lauwaert; SAIDAH; Kyle Starkey; Ogazón; Quest (IT); Rossi; Silva Bumpa; Benny Rodrigues"
2320346;"ANOTR; malix; Mau P; Rossi; Rooléh; Seth Troxler; The Martinez Brothers; Toman; Alci; FLETCH (GB)"
2449263;Rossi
2419719;"Enzo Siragusa; Traumer; Kepler; Locky; Miller; Rossi; Call Super; Ryan Elliott; Rich NXT; Marlie"
2455016;Rossi
2408458;"Marco Carola; Luciano; Rossi; Sosa; Obskur; FLETCH"
2395821;"Speedy J; Sander van Doorn; Marco Bailey; Marco V; Darren Emerson; Alexander Koning; Erick E; Benny Rodrigues; David Penn; Funkerman"
2365368;"Jamie Jones; Rossi; Nicole Moudaber; wAFF; Sosa; FLORENTIA; Murphy's Law; Rich NXT; Jordan Peak"
