artist;date;title;venue;city;link
Indira Paganotto;2026-06-13;Indira Paganotto I Sat June 13;Bolivar Beach Bar;Athens;https://ra.co/events/2367725
Indira Paganotto;2026-06-13;Sophie Grand Opening - Indira Paganotto, Hector Oaks, Avalon Emerson, Helena Hauff;Sophie Festival;Malaga;https://ra.co/events/2392626
Indira Paganotto;2026-06-14;MESTIZA;Hï Ibiza;Ibiza;https://ra.co/events/2366979
Indira Paganotto;2026-06-19;OFFSónar 2026 Adriatique presents X;Poble Espanyol;Barcelona;https://ra.co/events/2371076
Indira Paganotto;2026-06-21;MESTIZA;Hï Ibiza;Ibiza;https://ra.co/events/2366984
Indira Paganotto;2026-06-28;MESTIZA;Hï Ibiza;Ibiza;https://ra.co/events/2366986
Indira Paganotto;2026-07-05;CamelPhat present Summer of Love;Hï Ibiza;Ibiza;https://ra.co/events/2417984
Indira Paganotto;2026-07-12;CamelPhat present Summer of Love;Hï Ibiza;Ibiza;https://ra.co/events/2418293
Indira Paganotto;2026-07-19;CamelPhat present Summer of Love;Hï Ibiza;Ibiza;https://ra.co/events/2418295
Indira Paganotto;2026-07-26;CamelPhat present Summer of Love;Hï Ibiza;Ibiza;https://ra.co/events/2418297
Indira Paganotto;2026-08-01;Indira Paganotto, Valentinø, Byorn, Paquita Gordon;Cocoricò;North;https://ra.co/events/2435830
Indira Paganotto;2026-08-02;CamelPhat present Summer of Love;Hï Ibiza;Ibiza;https://ra.co/events/2418299
Indira Paganotto;2026-08-06;ANTIPOP – 20 YEARS OF NEOPOP FESTIVAL;Forte Santiago da Barra;All;https://ra.co/events/2398051
Indira Paganotto;2026-08-09;CamelPhat present Summer of Love;Hï Ibiza;Ibiza;https://ra.co/events/2418300
Indira Paganotto;2026-08-16;CamelPhat present Summer of Love;Hï Ibiza;Ibiza;https://ra.co/events/2418302
Indira Paganotto;2026-08-21;COCORICÒ PRES GALACTICA MALTA;UNO MALTA;All;https://ra.co/events/2390274
Loco Dice;2026-06-13;Loco Dice - HONI BEACH CLUB;TBA - Honi Beach Club - Póvoa de Varzim;Porto;https://ra.co/events/2463551
Loco Dice;2026-06-19;Marco Carola PRESENTS MUSIC ON;Pacha Ibiza;Ibiza;https://ra.co/events/2408427
Loco Dice;2026-06-20;Output pres. NOW HERE with Paco Osuna, Loco Dice, Ilario Alicante - OFFBCN 26;Bosc Tancat / Diverbosc;Barcelona;https://ra.co/events/2344348
Loco Dice;2026-06-21;Sunflower (Club del Diavolo);Tenuta La Querciola;Central;https://ra.co/events/2463833
Loco Dice;2026-06-27;Loco Dice & Harvy Valencia;Club Space Miami;Miami;https://ra.co/events/2444625
Loco Dice;2026-07-04;Black Coffee;Hï Ibiza;Ibiza;https://ra.co/events/2365641
Loco Dice;2026-08-06;FISHER;[UNVRS];Ibiza;https://ra.co/events/2365282
Loco Dice;2026-08-08;Loco Dice takeover;Cocoricò;North;https://ra.co/events/2455938
Loco Dice;2026-08-12;Jamie Jones Paradise;[UNVRS];Ibiza;https://ra.co/events/2365355
Loco Dice;2026-08-21;Seth Troxler, Loco Dice and Victor Calderone;Pacha New York;New York City;https://ra.co/events/2449310
Loco Dice;2026-08-30;Day Trip In The Park LA: Loco Dice, Archie Hamilton;Los Angeles State Historic Park;Los Angeles;https://ra.co/events/2436979
Loco Dice;2026-09-05;Carl Cox - Lisbon 2026;TBA - Lisbon Open Air;Lisbon;https://ra.co/events/2390704
Loco Dice;2026-09-18;Time Warp Spain 2026;IFEMA;Madrid;https://ra.co/events/2353326
Loco Dice;2026-09-18;Time Warp Spain 2026;IFEMA;Madrid;https://ra.co/events/2427857
Loco Dice;2026-09-19;Carl Cox Invites Loco Dice, Nic Fanciulli, Chelina Manuhutu & Jon Rundell;Carroponte;Milan;https://ra.co/events/2415052
Loco Dice;2026-09-20;Carl Cox;[UNVRS];Ibiza;https://ra.co/events/2365518
Loco Dice;2026-09-30;Jamie Jones Paradise;[UNVRS];Ibiza;https://ra.co/events/2365374
Maceo Plex;2026-06-11;Maceo Plex;Loo Loo;Mexico City;https://ra.co/events/2461211
Maceo Plex;2026-06-12;Nü Androids presents: Maceo Plex X DJ Tennis;A.i Warehouse;Washington DC;https://ra.co/events/2411805
Maceo Plex;2026-06-13;Life and Death: Maceo Plex (live), DJ Tennis, MUSCLECARS, Danny Daze, Andi & Arvin T;Knockdown Center;New York City;https://ra.co/events/2404681
